Date,Open,High,Low,Close
03/12/2021,65.96,66.24,65.41,65.61
03/11/2021,64.7,66.21,64.54,66.02
03/10/2021,63.84,64.96,63.13,64.44
03/09/2021,64.73,65.98,63.63,64.01
03/08/2021,66.68,67.98,64.57,65.05
03/05/2021,64.16,66.42,63.82,66.09
03/04/2021,61.08,64.86,60.52,63.83
03/03/2021,59.55,61.99,59.24,61.28
03/02/2021,60.23,61.21,59.38,59.75
03/01/2021,61.95,62.92,59.96,60.64
02/26/2021,63.46,63.57,61.34,61.5
02/25/2021,63.39,63.81,62.65,63.53
02/24/2021,61.29,63.51,60.97,63.22
02/23/2021,62.16,63,60.67,61.67
02/22/2021,58.88,61.84,58.82,61.49
02/19/2021,60.2,60.29,58.59,59.24
02/18/2021,61.68,62.26,59.79,60.52
02/17/2021,60.24,61.73,59.43,61.14
02/16/2021,60.19,60.33,59.33,60.05
02/12/2021,57.94,59.82,57.41,59.47
02/11/2021,58.4,58.71,57.84,58.24
02/10/2021,58.45,58.91,58.08,58.68
02/09/2021,58.11,58.62,57.27,58.36
02/08/2021,57.06,58.14,57,57.97
02/05/2021,56.46,57.29,56.43,56.85
02/04/2021,55.96,56.58,55.3,56.23
02/03/2021,55.05,56.33,54.81,55.69
02/02/2021,53.48,55.26,53.45,54.76
02/01/2021,51.99,53.74,51.64,53.55
01/29/2021,52.15,53.25,51.93,52.2
01/28/2021,52.65,53.58,52.04,52.34
01/27/2021,52.76,53.3,51.85,52.85
01/26/2021,52.91,53.25,52.29,52.61
01/25/2021,52.17,52.95,51.82,52.77
01/22/2021,53.1,53.16,51.44,52.27
01/21/2021,52.93,53.41,52.75,53.13
01/20/2021,53.13,53.79,53.05,53.24
01/19/2021,52.11,53.13,52.11,52.98
01/15/2021,53.8,53.83,51.83,52.36
01/14/2021,52.84,53.75,52.24,53.57
01/13/2021,53.31,53.93,52.58,52.91
01/12/2021,52.18,53.45,52.07,53.21
01/11/2021,52.58,52.7,51.5,52.25
01/08/2021,50.93,52.75,50.81,52.24
01/07/2021,50.53,51.28,50.39,50.83
01/06/2021,49.82,50.94,49.48,50.63
01/05/2021,47.38,50.2,47.24,49.93
01/04/2021,48.4,49.83,47.31,48.52
12/31/2020,48.35,48.58,47.77,48.52
12/30/2020,48.13,48.66,47.61,48.4
12/29/2020,47.72,48.35,47.68,48
12/28/2020,48.23,48.96,47.5,47.62
12/24/2020,48.09,48.62,47.56,48.23
12/23/2020,46.79,48.5,46.16,48.12
12/22/2020,47.93,47.96,46.6,47.02
12/21/2020,48.54,48.61,46.18,47.74
12/18/2020,48.43,49.28,48.1,49.1
12/17/2020,47.85,48.59,47.81,48.36
12/16/2020,47.6,47.94,47.17,47.82
12/15/2020,46.99,47.73,46.54,47.62
12/14/2020,46.73,47.44,45.69,46.99
12/11/2020,46.97,47.29,46.34,46.57
12/10/2020,45.69,47.74,45.52,46.78
12/09/2020,45.6,46.24,44.95,45.52
12/08/2020,45.66,45.93,45.14,45.6
12/07/2020,46.15,46.54,45.36,45.76
12/04/2020,45.64,46.68,45.61,46.26
12/03/2020,44.99,45.84,44.66,45.64
12/02/2020,44.38,45.92,43.92,45.28
12/01/2020,45.08,45.7,44.12,44.55
11/30/2020,45.34,45.8,44.42,45.34
11/27/2020,44.9,45.71,44.55,45.53
11/25/2020,44.82,46.26,44.73,45.71
11/24/2020,42.84,45.2,42.82,44.91
11/23/2020,42.46,43.36,42.29,43.06
11/20/2020,41.7,42.32,41.51,42.15
